+-------+-----+-------+------+-----+-----+--------+----------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                                 URI                                  |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
| 16    | 0   | 16    | 0    | 0   | 0   | GET    | /apple-touch-icon-180x180.png                                        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000   | 1020.000   | 16320.000    | 1020.000   |
| 17    | 0   | 17    | 0    | 0   | 0   | GET    | /images/top-logo.svg                                                 | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 4749.000   | 4749.000   | 80733.000    | 4749.000   |
| 300   | 0   | 100   | 200  | 0   | 0   | GET    | /images/buildings1.svg                                               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 13886.000  | 1388600.000  | 4628.667   |
| 300   | 0   | 100   | 200  | 0   | 0   | GET    | /images/house2.svg                                                   | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 6430.000   | 643000.000   | 2143.333   |
| 300   | 0   | 100   | 200  | 0   | 0   | GET    | /images/buildings6.svg                                               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9454.000   | 945400.000   | 3151.333   |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php          | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /lib/phpunit/Util/PHP/eval-stdin.php                                 | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /lib/phpunit/src/Util/PHP/eval-stdin.php                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 300   | 0   | 100   | 200  | 0   | 0   | GET    | /images/buildings3.svg                                               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23793.000  | 2379300.000  | 7931.000   |
